,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max,0_percentage,nan_percentage,auc,ks,psi
feature29,10251.0,0.2559488232253426,0.2878942941205909,0.0,0.0,0.0,0.0,0.14285714300000002,0.454545455,0.838709677,0.9769217115,1.0,0.1412954594361954,0.558812136862492,0.5040505439630352,0.01885532300748488,0.014090850533615825
feature30,10251.0,0.13377094945047335,0.22994686559977143,0.0,0.0,0.0,0.0,0.017219383,0.1557510015,0.6994965025,0.994439592,1.0,0.1412954594361954,0.558812136862492,0.49953355469824867,0.015957480207354158,0.0134851597333302
feature31,10251.0,0.6259287472271994,0.3024893327007251,0.0,0.0,0.056295015500000004,0.3971109725,0.6779661020000001,0.8946473325,1.0,1.0,1.0,0.016569829997848073,0.558812136862492,0.4958410050804356,0.012389725368382343,0.015086046398444599
feature32,10251.0,0.6818188406902712,0.31128719739535093,0.0,0.0,0.0063454975,0.493620965,0.7717015140000001,0.9559249965,1.0,1.0,1.0,0.019238218205293738,0.558812136862492,0.49368953016589445,0.01647401886280242,0.015272510695288654
feature33,10251.0,1071048.6594478588,2509706.062610738,0.0,0.0,0.0,0.0,20183.0,1100000.0,5152375.0,11716900.0,59144657.0,0.20766085646653756,0.558812136862492,0.5293132916827489,0.06263626777275252,0.013934139212173497
feature34,10251.0,2.1308165057067603,5.64670052647463,0.0,0.0,0.0,0.0,0.0,2.0,9.0,24.0,215.0,0.23270927480094686,0.558812136862492,0.5099890302480752,0.020557019625514095,0.013527640642570758
feature35,10986.0,3.8190424176224287,2.758002488497339,1.0,1.0,1.0,2.0,3.0,5.0,9.0,13.0,22.0,0.0,0.5271788250484183,0.5372979707430207,0.06015514475932782,0.014297497018398681
feature36,10986.0,15666854.207354816,19964409.046347316,-49954800.0,17458.15,574813.75,3130592.0,8789440.5,20665487.5,53882348.5,93233023.3,322698431.0,0.002840542285345384,0.5271788250484183,0.5403125788972591,0.0791402596165176,0.015241882341642175
feature37,10986.0,16131759.045603495,21086353.219941527,0.0,0.0,0.0,3000000.0,9250000.0,21200000.0,54497500.0,99729999.99999993,335400000.0,0.03701312674843985,0.5271788250484183,0.5641003869558227,0.09827042858364626,0.016173292205725723
feature38,10986.0,196767.90232996756,353223.57344368956,0.0,0.0,19408.5916675,68507.63961000001,129913.375,235139.27500000002,550357.27085,1037667.0164499985,20902560.0,0.010716591349257586,0.5271788250484183,0.5279249251093584,0.05117917347692569,0.015173266726720765
feature39,10986.0,0.7070915050564353,7.538642584319371,-182.2657154,0.0,0.0,0.2017279175,0.5253948104999999,0.9587425585,1.388644802,2.967830697199996,664.6946387,0.03236496664514741,0.5271788250484183,0.5468660891452213,0.07797244693491812,0.015574470280610795
feature40,10251.0,0.04981833390557026,0.0498024870737502,0.0,0.0,0.0,0.01902512,0.038155394,0.061329529499999993,0.15127233499999998,0.25,0.25,0.02681299763288143,0.558812136862492,0.5252639481134428,0.05465641961332551,0.016003822221984147
feature41,10251.0,65148.97083211394,253690.6680859938,0.0,0.0,0.0,0.0,0.0,0.0,381484.0,1095645.0,5310768.0,0.344609425435765,0.558812136862492,0.5143022757618345,0.030958985316414556,0.01423073360142139
feature42,10251.0,3.5445322407569995,6.805194723345232,0.0,0.0,0.0,0.0,1.0,4.0,15.0,30.5,140.0,0.18226812997632882,0.558812136862492,0.5272893816864239,0.05026593337999474,0.017052707075348138
feature43,10251.0,0.08277196037752473,0.13563534993876375,0.0,0.0,0.0,0.0,0.0,0.1318272095,0.333333333,0.5310150375,1.0,0.24484613729287713,0.558812136862492,0.504331851616561,0.021062662399420895,0.015276926072014255
feature44,10251.0,0.6565468898444053,0.3510152418202716,0.0,0.0,0.0,0.4,0.75,1.0,1.0,1.0,1.0,0.04902087368194534,0.558812136862492,0.49836224743254254,0.02093994522511078,0.015095499455099198
feature45,10251.0,0.044594303970539574,0.13996545604199886,0.0,0.0,0.0,0.0,0.0,0.0,0.313280141,0.7838680615,1.0,0.34491069507208955,0.558812136862492,0.5140665369010267,0.03225171702472257,0.013240242324663833
feature46,10986.0,1417647.4140724558,2319369.617813056,-792946.0,0.0,0.0,144886.25,597546.0,1725684.5,5535857.25,10576009.949999986,53722367.0,0.04217774908543146,0.5271788250484183,0.5774628306018089,0.11367346950489482,0.02177578631417266
feature47,10986.0,486606.49242483755,681511.9912656225,-300674.0,0.0,0.0,83040.625,280275.76665,639127.95,1630712.25,3048239.3625,14685160.5,0.04217774908543146,0.5271788250484183,0.5812188218736349,0.1345707730810075,0.01875727371387033
feature48,10986.0,0.49613204788112064,5.550860838068419,-0.45180666700000005,0.0,0.0,0.0824608335,0.2643351665,0.60560521,1.0828976730000002,2.000812333049998,539.975,0.06546158812136862,0.5271788250484183,0.561575510667955,0.10035104078578816,0.02646187188076526
feature49,10986.0,3100240.3565446935,3888389.8294572183,-3377987.0,0.0,82971.75,701821.0,1831825.0,4126712.75,10164602.75,17490073.049999993,98377668.0,0.012739401764579298,0.5271788250484183,0.5385158020832198,0.06916711307636153,0.01801230682584771
feature50,10986.0,911496.3073338232,911009.7325896989,-3377987.0,0.0,63763.25,369987.374975,679791.85715,1159829.5,2470465.5625,4355875.749999996,19675533.6,0.012739401764579298,0.5271788250484183,0.5278651897113423,0.05258084388692863,0.01601779170434899
feature51,10986.0,3077125.787729838,3998201.109724776,0.0,0.0,0.0,700000.0,1900000.0,4000000.0,10177500.0,18357499.99999998,105100000.0,0.053539918226813,0.5271788250484183,0.5657295192657523,0.10154837267574157,0.021236573351804316
feature52,10986.0,617384.0811032223,1042563.6293221654,0.0,0.0,97.75,115023.0,320437.5,751490.5,2093617.5,4324764.849999985,30650990.0,0.023542070152786743,0.5271788250484183,0.5360529571317957,0.05667392811859573,0.017730038171892677
